time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-23 00:00:00+00:00,2,2,141,30
2023-07-24 00:00:00+00:00,3,3,80,26
2023-07-25 00:00:00+00:00,3,3,108,30
2023-07-26 00:00:00+00:00,3,3,73,19
2023-07-27 00:00:00+00:00,3,3,38,14
2023-07-28 00:00:00+00:00,2,2,60,24
2023-07-29 00:00:00+00:00,3,1,86,27
2023-07-30 00:00:00+00:00,5,5,279,53
2023-07-31 00:00:00+00:00,11,4,112,36
2023-08-01 00:00:00+00:00,3,3,112,39
2023-08-02 00:00:00+00:00,3,3,94,30
2023-08-03 00:00:00+00:00,5,5,105,43
2023-08-04 00:00:00+00:00,0,0,161,44
2023-08-05 00:00:00+00:00,6,6,193,42
2023-08-06 00:00:00+00:00,5,5,205,57
2023-08-07 00:00:00+00:00,6,6,137,43
2023-08-08 00:00:00+00:00,5,4,221,66
2023-08-09 00:00:00+00:00,6,5,256,48
2023-08-10 00:00:00+00:00,4,4,156,47
2023-08-11 00:00:00+00:00,5,5,168,43
2023-08-12 00:00:00+00:00,1,1,162,42
2023-08-13 00:00:00+00:00,6,5,145,34
2023-08-14 00:00:00+00:00,4,3,94,30
2023-08-15 00:00:00+00:00,3,3,124,40
2023-08-16 00:00:00+00:00,3,3,124,31
2023-08-17 00:00:00+00:00,5,4,137,36
2023-08-18 00:00:00+00:00,5,4,118,25
2023-08-19 00:00:00+00:00,2,2,83,22
2023-08-20 00:00:00+00:00,2,2,184,36
2023-08-21 00:00:00+00:00,6,6,114,24
2023-08-22 00:00:00+00:00,5,5,105,30
2023-08-23 00:00:00+00:00,2,2,82,32
2023-08-24 00:00:00+00:00,1,1,61,14
2023-08-25 00:00:00+00:00,5,5,108,31
2023-08-26 00:00:00+00:00,6,4,102,37
2023-08-27 00:00:00+00:00,9,7,131,33
2023-08-28 00:00:00+00:00,2,2,96,24
2023-08-29 00:00:00+00:00,5,4,164,38
2023-08-30 00:00:00+00:00,3,3,104,32
2023-08-31 00:00:00+00:00,1,1,59,28
2023-09-01 00:00:00+00:00,4,2,99,29
2023-09-02 00:00:00+00:00,3,3,92,32
2023-09-03 00:00:00+00:00,3,3,68,23
2023-09-04 00:00:00+00:00,3,3,78,24
2023-09-05 00:00:00+00:00,2,2,58,19
2023-09-06 00:00:00+00:00,4,4,73,29
2023-09-07 00:00:00+00:00,6,4,97,27
2023-09-08 00:00:00+00:00,10,8,101,31
2023-09-09 00:00:00+00:00,7,7,139,29
2023-09-10 00:00:00+00:00,1,1,89,25
2023-09-11 00:00:00+00:00,1,1,91,29
2023-09-12 00:00:00+00:00,6,6,81,23
2023-09-13 00:00:00+00:00,1,1,86,27
2023-09-14 00:00:00+00:00,2,2,71,20
2023-09-15 00:00:00+00:00,1,1,107,30
2023-09-16 00:00:00+00:00,6,5,95,27
2023-09-17 00:00:00+00:00,8,5,164,44
2023-09-18 00:00:00+00:00,6,6,134,38
2023-09-19 00:00:00+00:00,5,4,147,46
2023-09-20 00:00:00+00:00,4,4,115,37
2023-09-21 00:00:00+00:00,6,6,77,28
2023-09-22 00:00:00+00:00,0,0,97,34
2023-09-23 00:00:00+00:00,5,5,106,41
2023-09-24 00:00:00+00:00,8,8,104,37
2023-09-25 00:00:00+00:00,4,3,126,37
2023-09-26 00:00:00+00:00,6,5,90,34
2023-09-27 00:00:00+00:00,9,7,117,32
2023-09-28 00:00:00+00:00,2,2,101,30
2023-09-29 00:00:00+00:00,5,5,129,29
2023-09-30 00:00:00+00:00,5,4,181,42
2023-10-01 00:00:00+00:00,6,4,98,44
2023-10-02 00:00:00+00:00,6,6,122,36
2023-10-03 00:00:00+00:00,7,7,121,42
2023-10-04 00:00:00+00:00,2,2,90,33
2023-10-05 00:00:00+00:00,4,4,86,33
2023-10-06 00:00:00+00:00,2,1,95,26
2023-10-07 00:00:00+00:00,5,5,130,34
2023-10-08 00:00:00+00:00,6,6,103,40
2023-10-09 00:00:00+00:00,4,4,61,31
2023-10-10 00:00:00+00:00,2,2,168,32
2023-10-11 00:00:00+00:00,8,6,72,33
2023-10-12 00:00:00+00:00,2,2,71,31
2023-10-13 00:00:00+00:00,2,2,57,19
2023-10-14 00:00:00+00:00,1,1,54,28
2023-10-15 00:00:00+00:00,7,7,123,32
2023-10-16 00:00:00+00:00,2,2,46,22
2023-10-17 00:00:00+00:00,7,7,64,21
2023-10-18 00:00:00+00:00,5,5,46,22
2023-10-19 00:00:00+00:00,2,2,27,20
2023-10-20 00:00:00+00:00,2,2,75,26
2023-10-21 00:00:00+00:00,8,6,104,35
2023-10-22 00:00:00+00:00,2,2,101,28
2023-10-23 00:00:00+00:00,3,3,54,20
2023-10-24 00:00:00+00:00,3,1,69,27
2023-10-25 00:00:00+00:00,6,6,129,24
2023-10-26 00:00:00+00:00,5,5,186,39
2023-10-27 00:00:00+00:00,1,1,44,22
2023-10-28 00:00:00+00:00,7,5,76,29
2023-10-29 00:00:00+00:00,3,3,101,30
2023-10-30 00:00:00+00:00,4,4,64,23
2023-10-31 00:00:00+00:00,2,2,81,28
2023-11-01 00:00:00+00:00,4,4,80,27
2023-11-02 00:00:00+00:00,2,2,78,25
2023-11-03 00:00:00+00:00,4,4,88,25
2023-11-04 00:00:00+00:00,3,3,70,25
2023-11-05 00:00:00+00:00,8,8,97,28
2023-11-06 00:00:00+00:00,4,4,123,18
2023-11-07 00:00:00+00:00,4,4,103,36
2023-11-08 00:00:00+00:00,7,6,88,24
2023-11-09 00:00:00+00:00,2,2,54,18
2023-11-10 00:00:00+00:00,2,2,92,27
2023-11-11 00:00:00+00:00,2,2,54,24
2023-11-12 00:00:00+00:00,3,2,98,33
2023-11-13 00:00:00+00:00,4,4,88,24
2023-11-14 00:00:00+00:00,4,4,151,30
2023-11-15 00:00:00+00:00,5,4,87,25
2023-11-16 00:00:00+00:00,2,2,84,33
2023-11-17 00:00:00+00:00,7,6,131,33
2023-11-18 00:00:00+00:00,8,7,124,42
2023-11-19 00:00:00+00:00,3,3,124,38
2023-11-20 00:00:00+00:00,4,4,116,25
2023-11-21 00:00:00+00:00,0,0,59,19
2023-11-22 00:00:00+00:00,3,2,47,19
2023-11-23 00:00:00+00:00,3,3,105,26
2023-11-24 00:00:00+00:00,3,3,115,31
2023-11-25 00:00:00+00:00,4,4,98,31
2023-11-26 00:00:00+00:00,11,8,126,40
2023-11-27 00:00:00+00:00,3,3,107,24
2023-11-28 00:00:00+00:00,6,5,72,26
2023-11-29 00:00:00+00:00,4,4,68,28
2023-11-30 00:00:00+00:00,9,3,92,32
2023-12-01 00:00:00+00:00,4,4,121,29
2023-12-02 00:00:00+00:00,4,3,124,40
2023-12-03 00:00:00+00:00,5,4,112,32
2023-12-04 00:00:00+00:00,1,1,120,28
